Id_Encuesta,Año,SECTOR,TAMAÑO,P38_1,P38_2,P38_3,P38_4,P38_90,P39,P40,P41_1,P41_2,P41_3,P41_4,P41_OTRO,P42_1,P42_2,P42_3,P42_4,P42_5,P42_OTRO,P43,P44,P44A,P45,P46,P47,P48A,P48B,P48C,P49_1,P49_2,P49_3,P49_4,P50,P51,P51_OTRO,P52_1,P52_2,P52_3,P52_4,P52_90,P53,P54,P55,P56,P57A,P57B,P57C,P57D,P57E,P57F,P57G,P57H,P58,P59,fax expansión
01_DGC_Clima_Negocios,2021,Industrias,Pequeña,,,Observatorio de Transparencia y Anticorrupción de la Secretaría de Transparencia de la Presidencia de la República,,,Alta,Si,,,,,,,,,Política de prevención del fraude y soborno,,,Si,Si,lo est implementando la contadora pero no sabe a la mano,Han aumentado,No,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,Fiscalía General de la Nación,,,,Medio,No se ha visto afectada,,,,,"Comisión Interinstitucional de Lucha contra el Contrabando, el Lavado de Activos y la Evasión Fiscal",,No,Parcialmente segura,Aumentó,Si,No,No,Si,No,No,No,No,No,Si,Aplicación A Denunciar,33.90526
01_DGC_Clima_Negocios,2021,Servicios,Micro,,,,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Baja,Si,,,,,,,,,Política de prevención del fraude y soborno,,,Si,Si,"como es un empresa pequeña, se controla el manejo personal de las cosas ",Han aumentado,No,Baja,NO LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,DIAN,,,,Medio,No se ha visto afectada,,Plan Vallejo,,,,,No,Insegura,Aumentó,No,,,,,,,,,,,147.36765
01_DGC_Clima_Negocios,2021,Industrias,Mediana,,Estatuto Anticorrupción (Ley 1474 del 2011),,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,Si,,,,,,Programa de capacitación a empleados,,,Política de prevención del fraude y soborno,,,Si,Si,"capacitaciones, auditoria",No existen,Si,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,Policía Fiscal y Aduanera (POLFA),,,,Alto,No se ha visto afectada,,,Centro Integrado de Lucha Contra el Contrabando de la DIAN,,,,Si,Insegura,Aumentó,No,,,,,,,,,,,16.64583
01_DGC_Clima_Negocios,2021,Servicios,Micro,,,,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,No sabe,No,,,,No es un tema que le competa a la empresa,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,,,Medio,No se ha visto afectada,,,,Ley Anticontrabando 1762 de 2015,,,Si,Parcialmente segura,Aumentó,No,,,,,,,,,,,147.36765
01_DGC_Clima_Negocios,2021,Industrias,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Media,No,Desconocimiento de la temática,,,,,,,,,,,No,,,,,,SI LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,DIAN,,,,Bajo,No se ha visto afectada,,,,Ley Anticontrabando 1762 de 2015,,,No,Insegura,Siguió igual,Si,Si,No,No,No,No,Si,No,No,No,,88.6872
01_DGC_Clima_Negocios,2021,Servicios,Pequeña,,,,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,Si,,,,,,,,Códigos de ética y buen gobierno,Política de prevención del fraude y soborno,,,Si,Si,politica,Han aumentado,Si,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,Policía Fiscal y Aduanera (POLFA),,,,Medio,No se ha visto afectada,,,,,"Comisión Interinstitucional de Lucha contra el Contrabando, el Lavado de Activos y la Evasión Fiscal",,No,Insegura,Aumentó,No,,,,,,,,,,,30.48869
01_DGC_Clima_Negocios,2021,Servicios,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,No sabe,No,,,,No es un tema que le competa a la empresa,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,,,Bajo,No se ha visto afectada,,,Centro Integrado de Lucha Contra el Contrabando de la DIAN,,,,No,Insegura,Siguió igual,Si,Si,No,No,No,No,Si,No,Si,No,,147.36765
01_DGC_Clima_Negocios,2021,Servicios,Mediana,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Alta,No,Desconocimiento de la temática,Falta de promoción y socialización por parte de las autoridades,,,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,,,Bajo,No se ha visto afectada,,,,Ley Anticontrabando 1762 de 2015,,,No,Parcialmente segura,Aumentó,No,,,,,,,,,,,21.54128
01_DGC_Clima_Negocios,2021,Servicios,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Alta,Si,,,,,,,,Códigos de ética y buen gobierno,,,,Si,Si,SARO / SARLAS,No existen,Si,Alta,SI LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,Fiscalía General de la Nación,,,,Medio,No se ha visto afectada,,Plan Vallejo,,,,,No,Insegura,Aumentó,No,,,,,,,,,,,147.36765
01_DGC_Clima_Negocios,2021,Industrias,Pequeña,Integrity App de la Secretaría de Transparencia de la Presidencia de la República,,,,,Alta,Si,,,,,,Programa de capacitación a empleados,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,DIAN,,,,Alto,Por competencia vía reducción de precios,,,Centro Integrado de Lucha Contra el Contrabando de la DIAN,,,,No,Parcialmente segura,Aumentó,No,,,,,,,,,,,33.90526
01_DGC_Clima_Negocios,2021,Comercio,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Media,Si,,,,,,,,,,,Verificar antecedentes,No,,,,,,NO LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,,,Alto,,Falsificación marca y producto,,,,"Comisión Interinstitucional de Lucha contra el Contrabando, el Lavado de Activos y la Evasión Fiscal",,No,Insegura,Aumentó,No,,,,,,,,,,,128.69382
01_DGC_Clima_Negocios,2021,Servicios,Mediana,Integrity App de la Secretaría de Transparencia de la Presidencia de la República,,,,,Media,Si,,,,,,Programa de capacitación a empleados,Programas de cumplimiento,,,Canales de denuncia internos,,Si,Si,"LAS HERRAMIENTAS EN EL SECTOR DE TRANSPORTE QUE DEBEN ENVIAR A LA SUPERINTENDENCIA PARA REPORTAR ACTIVIDADES SOSPECHOSAS, MANEJAN TRANSFERENCIAS ELECTRONICAS",Han aumentado,Si,Media,SI LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,,,,Gremios y/o Cámaras de Comercio,Bajo,No se ha visto afectada,,Plan Vallejo,,,"Comisión Interinstitucional de Lucha contra el Contrabando, el Lavado de Activos y la Evasión Fiscal",,No,Parcialmente segura,Siguió igual,No,,,,,,,,,,,21.54128
01_DGC_Clima_Negocios,2021,Construcción,Micro,,,,,Ninguna,No sabe,No,Desconocimiento de la temática,,,No es un tema que le competa a la empresa,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Bajo,No se ha visto afectada,,,,,,Ninguna,No,Insegura,Aumentó,No,,,,,,,,,,,97.14286
01_DGC_Clima_Negocios,2021,Industrias,Pequeña,,Estatuto Anticorrupción (Ley 1474 del 2011),,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,Si,,,,,,,,Códigos de ética y buen gobierno,Política de prevención del fraude y soborno,,,Si,Si,CERTIFICADOS DE EMPRESAS,Siguen igual,No,Baja,NO LAS CONOCE,NO LAS CONOCE,NO LAS CONOCE,DIAN,,,,Alto,Por pérdida en los márgenes de rentabilidad,,,,,,Ninguna,Si,Insegura,Aumentó,Si,Si,No,No,No,No,No,No,No,Si,Aplicación A Denunciar,33.90526
01_DGC_Clima_Negocios,2021,Comercio,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),Observatorio de Transparencia y Anticorrupción de la Secretaría de Transparencia de la Presidencia de la República,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Media,No,Desconocimiento de la temática,,,,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,,,Bajo,No se ha visto afectada,,,,,"Comisión Interinstitucional de Lucha contra el Contrabando, el Lavado de Activos y la Evasión Fiscal",,Si,Parcialmente segura,Aumentó,No,,,,,,,,,,,128.69382
